velocity,CO2,NOx
39.87237637,0.875964113,0
38.94713386,0.269251161,0
37.59649077,0.134802236,0
35.62040485,0.065325734,0
32.82418336,0.05131156,0
29.84769782,0.029332236,0
27.79069085,0.105863609,0
26.97443558,0.084522214,0
26.86631482,0.274934602,0
27.16780976,0.61902226,0
28.0523657,1.450445884,0
29.57603969,2.106178029,0
31.50725738,2.469760165,0
33.43210838,2.224303743,0
35.1005587,2.230081807,0
36.23631648,2.158471266,0
36.61699952,1.563755573,0
36.60588606,1.020374814,0
36.26136885,0.641745102,0
35.33929086,0.307562761,0
34.13568448,0.272840434,0
32.86807211,0.262480315,0
31.64483823,0.200696801,0
30.83920667,0.238395827,0
30.61162565,0.345364452,0
30.72453085,0.492278987,0
30.80247575,0.690677703,0
30.46458894,0.613764747,0
29.26467449,0.231931904,0
27.17410111,0.172893504,0
24.75679204,0.0655976,0
22.49898937,0.03407218,0
20.98352804,0.013876841,0
20.52109515,0.417454475,0
20.76581727,1.152889806,0
21.8512066,1.656664209,0
24.31040774,3.300522295,0
27.93433701,5.350646509,0.569738171
31.39559538,3.194349851,1.973034159
33.56034638,1.197533028,0.542980952
34.72499915,1.508933063,0
35.56894388,1.694004645,0
36.24076186,1.719187044,0
36.67998834,1.475043635,0
36.88266769,1.416628108,0
36.93665273,1.171848275,0
36.76934808,0.881632962,0
36.08200894,0.709893779,0
34.85060007,0.178832494,0
33.45041733,0.073710669,0
32.23023494,0.058821726,0
31.24558252,0.044480112,0
30.32847733,0.036797503,0
29.30430621,0.10657064,0
28.04486883,0.078898794,0
26.22049103,0.056319128,0
23.32575533,0.090466492,0
18.78976902,0.021238982,0
12.4200244,0.031404926,0
6.888950328,0.016928478,0
4.967979622,0.050897853,0
5.759182516,2.001871114,0
8.932960204,3.495897807,0
14.17531039,1.390037391,0.941966135
19.77381867,2.702680861,0
25.22698552,5.307494557,0.373991316
29.28076075,3.646409239,0.902936619
30.7153387,1.687258031,0.481787615
30.62337954,0.74222777,0.331023819
29.73155276,0.199946486,0
28.05379727,0.104534205,0
25.98062869,0.060369656,0
23.21552489,0.043839974,0
19.27710359,0.02989048,0
14.59038865,0.094612448,0
10.02697658,0.049988304,0
6.839749729,0.053405022,0
5.754774805,0.094446332,0
6.122272388,0.52721402,0
8.630448098,3.342844868,0
13.71984696,4.748313291,0
18.630451,1.720794156,3.434010741
21.66578137,3.369452165,0
23.98947367,3.635159644,0
26.6156404,3.309342058,0
29.43921229,3.211977527,0
31.76814111,1.733073323,0
33.04034955,0.779689267,0
33.55213373,0.408948086,0
33.93149822,0.37083761,0
